matchDate,homeTeamScore,awayTeamScore,homeTeam_ID,awayTeam_ID
2019-08-09,4,1,10,14
2019-08-10,0,5,19,11
2019-08-10,1,1,3,15
2019-08-10,3,0,5,16
2019-08-10,0,0,7,8
2019-08-10,0,3,18,4
2019-08-10,3,1,17,2
2019-08-11,0,0,9,20
2019-08-11,0,1,13,1
2019-08-11,4,0,12,6
2019-08-17,2,1,1,5
2019-08-17,1,2,2,3
2019-08-17,1,1,4,19
2019-08-17,1,0,8,18
2019-08-17,3,1,14,13
2019-08-17,1,2,16,10
2019-08-17,2,2,11,17
2019-08-18,1,0,15,7
2019-08-18,1,1,6,9
2019-08-19,1,1,20,12
2019-08-23,2,0,2,8
2019-08-24,2,3,14,6
2019-08-24,0,2,4,16
2019-08-24,1,2,12,7
2019-08-24,1,2,15,9
2019-08-24,1,3,18,19
2019-08-24,3,1,10,1
2019-08-25,1,3,3,11
2019-08-25,0,1,17,13
2019-08-25,1,1,20,5
2019-08-31,1,1,16,12
2019-08-31,2,2,6,15
2019-08-31,1,0,7,2
2019-08-31,3,1,9,3
2019-08-31,4,0,11,4
2019-08-31,1,1,13,18
2019-08-31,2,0,19,14
2019-08-31,0,3,5,10
2019-09-01,3,2,8,20
2019-09-01,2,2,1,17
2019-09-14,3,1,10,13
2019-09-14,1,1,4,5
2019-09-14,1,0,12,9
2019-09-14,0,1,15,16
2019-09-14,4,0,17,7
2019-09-14,2,5,20,6
2019-09-14,3,2,14,11
2019-09-15,3,1,3,8
2019-09-15,2,2,18,1
2019-09-16,0,0,2,19
2019-09-20,1,3,16,3
2019-09-21,2,1,9,17
2019-09-21,2,0,5,14
2019-09-21,0,2,8,15
2019-09-21,8,0,11,18
2019-09-21,0,0,13,4
2019-09-22,1,1,7,20
2019-09-22,2,0,19,12
2019-09-22,3,2,1,2
2019-09-22,1,2,6,10
2019-09-28,0,1,15,10
2019-09-28,2,2,2,5
2019-09-28,2,2,3,19
2019-09-28,2,0,6,4
2019-09-28,2,0,7,14
2019-09-28,2,1,17,16
2019-09-28,2,0,20,18
2019-09-28,1,3,8,11
2019-09-29,5,0,9,13
2019-09-30,1,1,12,1
2019-10-05,3,0,4,17
2019-10-05,1,0,5,8
2019-10-05,2,1,10,9
2019-10-05,1,5,14,2
2019-10-05,0,0,18,15
2019-10-05,1,2,19,7
2019-10-06,1,0,1,3
2019-10-06,0,2,11,20
2019-10-06,1,4,16,6
2019-10-06,1,0,13,12
2019-10-19,2,0,8,19
2019-10-19,2,1,2,4
2019-10-19,0,0,3,14
2019-10-19,1,0,6,13
2019-10-19,2,1,9,5
2019-10-19,1,1,17,18
2019-10-19,1,1,20,16
2019-10-19,0,2,7,11
2019-10-20,1,1,12,10
2019-10-21,1,0,15,1
2019-10-25,0,9,16,9
2019-10-26,3,0,11,2
2019-10-26,3,2,4,8
2019-10-26,0,0,18,3
2019-10-26,1,1,19,15
2019-10-26,2,4,5,6
2019-10-27,1,1,13,20
2019-10-27,2,2,1,7
2019-10-27,2,1,10,17
2019-10-27,1,3,14,12
2019-11-02,1,0,3,12
2019-11-02,1,1,1,20
2019-11-02,1,2,2,10
2019-11-02,2,0,4,14
2019-11-02,2,1,11,16
2019-11-02,3,0,15,5
2019-11-02,2,3,19,13
2019-11-02,1,2,18,6
2019-11-03,0,2,7,9
2019-11-03,1,1,8,17
2019-11-08,0,2,14,18
2019-11-09,2,0,6,7
2019-11-09,3,0,5,19
2019-11-09,2,1,13,3
2019-11-09,1,2,16,8
2019-11-09,1,1,17,15
2019-11-09,2,0,9,1
2019-11-10,3,1,12,4
2019-11-10,2,1,20,2
2019-11-10,3,1,10,11
